params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.588,0.529,0.824,0.688,0.688,0.663,19
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.529,0.471,0.824,0.688,0.688,0.64,25
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.588,0.471,0.765,0.562,0.688,0.615,43
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.588,0.471,0.824,0.625,0.625,0.626,35
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.353,0.471,0.824,0.688,0.625,0.592,65
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.412,0.471,0.824,0.688,0.625,0.604,49
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.412,0.471,0.824,0.688,0.625,0.604,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.588,0.529,0.824,0.688,0.688,0.663,19
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.529,0.471,0.824,0.688,0.688,0.64,25
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.588,0.471,0.765,0.562,0.688,0.615,43
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.588,0.471,0.824,0.625,0.625,0.626,35
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.353,0.471,0.824,0.688,0.625,0.592,65
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.412,0.471,0.824,0.688,0.625,0.604,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.412,0.471,0.824,0.688,0.625,0.604,49
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.647,0.529,0.824,0.688,0.688,0.675,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.529,0.471,0.824,0.688,0.688,0.64,25
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.588,0.471,0.765,0.625,0.688,0.627,33
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.588,0.471,0.824,0.625,0.625,0.626,35
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.353,0.471,0.824,0.688,0.625,0.592,65
