model,seed,accuracy,pvalue
RandomForest,123,0.74,0.0297
GradientBoosting,123,0.673,0.06931
KNN,123,0.547,0.37624
RandomForest,123,0.74,0.0297
GradientBoosting,123,0.673,0.08911
KNN,123,0.547,0.37624
RandomForest,123,0.74,0.0297
GradientBoosting,123,0.673,0.06931
KNN,123,0.547,0.37624
RandomForest,123,0.74,0.0297
GradientBoosting,123,0.673,0.06931
KNN,123,0.547,0.37624
RandomForest,123,0.74,0.0297
GradientBoosting,123,0.673,0.06931
KNN,123,0.547,0.37624
