model,seed,accuracy,pvalue
RandomForest,31415,0.593,0.26733
GradientBoosting,31415,0.667,0.08911
KNN,31415,0.667,0.06931
RandomForest,31415,0.593,0.28713
GradientBoosting,31415,0.667,0.07921
KNN,31415,0.667,0.06931
RandomForest,31415,0.593,0.27723
GradientBoosting,31415,0.667,0.08911
KNN,31415,0.667,0.06931
RandomForest,31415,0.593,0.28713
GradientBoosting,31415,0.667,0.08911
KNN,31415,0.667,0.06931
RandomForest,31415,0.593,0.21782
GradientBoosting,31415,0.667,0.07921
KNN,31415,0.667,0.06931
