model,seed,accuracy,pvalue
RandomForest,98765,0.66,0.09901
GradientBoosting,98765,0.633,0.14851
KNN,98765,0.667,0.10891
RandomForest,98765,0.66,0.09901
GradientBoosting,98765,0.633,0.14851
KNN,98765,0.667,0.10891
RandomForest,98765,0.66,0.06931
GradientBoosting,98765,0.633,0.13861
KNN,98765,0.667,0.10891
RandomForest,98765,0.66,0.06931
GradientBoosting,98765,0.633,0.12871
KNN,98765,0.667,0.10891
RandomForest,98765,0.66,0.08911
GradientBoosting,98765,0.633,0.13861
KNN,98765,0.667,0.10891
