model,seed,accuracy,pvalue
RandomForest,42,0.64,0.22772
GradientBoosting,42,0.46,0.78218
KNN,42,0.68,0.0495
RandomForest,42,0.64,0.17822
GradientBoosting,42,0.46,0.76238
KNN,42,0.68,0.0495
RandomForest,42,0.64,0.19802
GradientBoosting,42,0.46,0.80198
KNN,42,0.68,0.0495
RandomForest,42,0.64,0.19802
GradientBoosting,42,0.46,0.80198
KNN,42,0.68,0.0495
RandomForest,42,0.64,0.19802
GradientBoosting,42,0.46,0.77228
KNN,42,0.68,0.0495
