model,seed,accuracy,pvalue
RandomForest,31415,0.47,0.65347
GradientBoosting,31415,0.47,0.61386
KNN,31415,0.61,0.22772
RandomForest,31415,0.47,0.66337
GradientBoosting,31415,0.47,0.62376
KNN,31415,0.61,0.22772
RandomForest,31415,0.47,0.63366
GradientBoosting,31415,0.47,0.61386
KNN,31415,0.61,0.22772
RandomForest,31415,0.47,0.63366
GradientBoosting,31415,0.47,0.64356
KNN,31415,0.61,0.22772
RandomForest,31415,0.47,0.64356
GradientBoosting,31415,0.47,0.65347
KNN,31415,0.61,0.22772
RandomForest,31415,0.47,0.67327
GradientBoosting,31415,0.47,0.59406
KNN,31415,0.61,0.22772
