model,seed,accuracy,pvalue
RandomForest,2023,0.673,0.07921
GradientBoosting,2023,0.567,0.28713
KNN,2023,0.627,0.19802
RandomForest,2023,0.673,0.0396
GradientBoosting,2023,0.567,0.27723
KNN,2023,0.627,0.19802
RandomForest,2023,0.673,0.0396
GradientBoosting,2023,0.567,0.26733
KNN,2023,0.627,0.19802
RandomForest,2023,0.673,0.05941
GradientBoosting,2023,0.567,0.23762
KNN,2023,0.627,0.19802
RandomForest,2023,0.673,0.0495
GradientBoosting,2023,0.567,0.27723
KNN,2023,0.627,0.19802
