model,seed,accuracy,pvalue
RandomForest,2023,0.51,0.78218
GradientBoosting,2023,0.47,0.67327
KNN,2023,0.55,0.49505
RandomForest,2023,0.51,0.69307
GradientBoosting,2023,0.47,0.67327
KNN,2023,0.55,0.49505
RandomForest,2023,0.51,0.74257
GradientBoosting,2023,0.47,0.66337
KNN,2023,0.55,0.49505
RandomForest,2023,0.51,0.71287
GradientBoosting,2023,0.47,0.67327
KNN,2023,0.55,0.49505
RandomForest,2023,0.51,0.74257
GradientBoosting,2023,0.47,0.66337
KNN,2023,0.55,0.49505
